"name","weightingms","discountsellingprice","price_per_gram"
"Amul Milk Compound Chocolate Slab",500,1.07,0.00
"Godrej Real Good Chicken Drumstick ",500,2.39,0.00
"Pineapple Slice",200,0.75,0.00
"Popular Essentials Misri Dana (Diamond Sugar) ",100,0.15,0.00
"Weikfield Vanilla Flavoured Custard Powder",100,0.37,0.00
"Mother's Recipe Pickle - Mango",400,1.13,0.00
"Praakritik Organic Masoor Dal",500,1.16,0.00
"Popular Essentials Soya Beans ",500,0.75,0.00
"Popular Essentials Mustard Seeds Rai Small",100,0.20,0.00
"Maggi Rich Tomato Ketchup",500,1.00,0.00
"Amul Mithai Mate EOE Tin",400,1.09,0.00
"Fortune Rozana Basmati Rice",5000,4.62,0.00
"Popular Essentials Refined Sugar",5000,2.65,0.00
"Bambino Popular Vermicelli ",400,0.39,0.00
"Britannia Good Day Butter Cookies",600,0.72,0.00
"Durex Extra Thin Bubblegum Condom",580,1.35,0.00
"Chakaachak Sponge Scrubber (Pack of 2)",116,0.44,0.00
"Britannnia 50-50 Sweet & Salty Biscuit",200,0.25,0.00
"Satyam Poha Jada",500,0.32,0.00
"Vim Dishwash Bar",600,0.45,0.00
"Popular Essentials Premium Jeera Rice",1000,1.40,0.00
"Gits Veg Biryani Ready to Eat",265,0.99,0.00
"Britannia Marie Gold Biscuit",200,0.28,0.00
"Parle Monaco Classic Salty Biscuits",400,0.70,0.00
"Surf Excel Matic Top Load",4000,6.49,0.00
"MTR Ready To Eat Palak Paneer ",300,1.20,0.00
"Pril Bar Tub",500,0.55,0.00
"Top Ramen Noodles, Atta",280,0.80,0.00
"Whisper Choice Regular Sanitary Pads",1160,0.90,0.00
"Chings Secret Manchurian Instant Noodle",240,0.60,0.00
"Popular Essentials Samba Broken Wheat",500,0.89,0.00
"McCain Smiles Cripsy Happy Potatoes",415,1.14,0.00
"Surf Excel Matic Powder Front Load ",4000,7.50,0.00
"Santoor Total Skin Care Soap With Sandal & Turmeric",600,1.80,0.00
"Mother's Recipe Gujrati Gorkeri Pickle",500,1.26,0.00
"Kitchens Of India Yellow Dal Tadka",285,0.77,0.00
"Chilli Green ",100,0.16,0.00
"Scotch Brite Scrub Pad",290,0.68,0.00
"Popular Essentials White Peas (Un-Polished)",500,0.72,0.00
"Yummiez American Sweet Corn",400,0.85,0.00
"Colgate Zig Zag Toothbrush",348,1.20,0.00
"Colgate Zigzag Charcoal Soft Bristle Toothbrush - 4 Pcs",232,0.99,0.00
"Whisper Ultra Clean XL Plus Sanitary Pad",870,1.55,0.00
"Kelloggs Corn Flakes",250,0.86,0.00
"Unibic Oatmeal Digestive Cookies ",150,0.47,0.00
"Ariel Complete Detergent Washing Powder 500 g  + 200 g Free",500,1.35,0.00
"Dettol Original Liquid Handwash Refill",750,1.05,0.00
"Praakritik Organic Chilka Moong Dal",500,1.08,0.00
"Sunfeast Farmlite Oats & Almonds Biscuits Packet",150,0.54,0.00
"Popular Essentials Double Beans White",250,0.54,0.00
"Lizol Disinfectant Surface & Floor Cleaner Liquid Citrus",975,1.88,0.00
"Bitter Gourd",250,0.15,0.00
"MTR Instant Gulab Jamun Mix",500,1.76,0.00
"Satyam Pulses Masur Dal",500,0.81,0.00
"Orange",116,0.45,0.00
"Cadbury Oreo Dipped Biscuit",150,0.63,0.00
"Tide Plus Extra Power Lemon & Mint Detergent Powder",2000,2.11,0.00
"Kelloggs Chocos",385,1.60,0.00
"Veeba Hot Sweet Tomato Chilli Sauce",500,0.83,0.00
"The Bake Shop Foot Long",200,0.40,0.00
"Chilli Bhaji",250,0.25,0.00
"Parle Rusk Elaichi",300,0.47,0.00
"Britannia Healthy Slice Sandwich Bread",450,0.40,0.00
"Amul Cheese Spread Spicy Garlic",200,0.82,0.00
"Surf Excel Detergent Bar Value Pack",800,1.14,0.00
"McVitie's Oat Cookies",120,0.45,0.00
"Zucchini Green",250,0.29,0.00
"Ching's Secret Manchurian Noodles",360,0.91,0.00
"Popular Essentials Guntur Chilli Stemless",100,0.39,0.00
"Mother's Recipe Mango Pickle ",400,1.20,0.00
"Popular Essentials Refined Sugar",1000,0.60,0.00
"Godrej Real Good Chicken Liver Sealed ",200,0.68,0.00
"TilSona Til Oil",500,1.62,0.00
"Kellogg's Special K Original Corn Flakes",900,3.55,0.00
"The Bake Shop Pizza Base Whole Wheat",150,0.30,0.00
"Dabur Honey ",500,2.04,0.00
"Tata Sampann Unpolished Moong Dal ",500,0.88,0.00
"Sunfeast Dark Fantasy Bourbon Bliss",150,0.29,0.00
"Ching's Secret Hot Garlic Instant Noodles",480,1.14,0.00
"MTR Ready To Eat Paneer Butter Masala",300,1.22,0.00
"Whisper Choice Sanitary Pad ",406,0.29,0.00
"Britannia Nutri Choice Cracker Sugar Free Biscuit",300,0.35,0.00
"Origami Disposable Spoons",1160,0.72,0.00
"Ariel Matic Liquid Detergent Front Load",1000,2.50,0.00
"Dukes Sour & Cream Onion Nibbles Baked",150,0.41,0.00
"Veeba English Mustard",300,0.69,0.00
"Gits Pav Bhaji Ready to Eat",300,0.85,0.00
"Stayfree Advanced XL Ultra Comfort Sanitary napkins with Wings",812,1.75,0.00
"Stayfree Dry-Max All Night Ultra-Dry Sanitary Pad",406,0.81,0.00
"Oxi Green Floor Cleaner - Citrus ",1000,1.61,0.00
"Spring Onion ",250,0.15,0.00
"Britannia Toastea Premium Bake Rusk",300,0.47,0.00
"Super Saver Kolam Rice Sortex Clean ",5000,6.30,0.00
"Aashirvaad Superior MP Whole Wheat Atta",1000,0.52,0.00
"Dabur Chyawanprakash Sugar Free",500,2.23,0.00
"Lizol Disinfectant Surface & Floor Cleaner Liquid Jasmine",500,0.97,0.00
"Fresh Chicken Boneless Cubes (Halal)",500,2.04,0.00
"Lotte Choco Pie ",696,1.20,0.00
"Banana Elaichi ",348,0.49,0.00
"Eastern Cumin Powder",100,0.48,0.00
"Guava",232,0.45,0.00
"Orange Nagpur",232,0.69,0.00
"Dettol Liquid Handwash With Free Liquid",200,0.99,0.00
"Dettol Effective Protection Antiseptic Liquid",250,1.16,0.00
"Pillsbury Atta/Godihittu - Chakki Fresh",2000,0.94,0.00
"Pillsbury Chakki Fresh Atta",10000,3.75,0.00
"Sponge Gourd",300,0.21,0.00
"Revive Revive Liquid",200,0.71,0.00
"Spinach",250,0.16,0.00
"Kitchens Of India Mughlai Paneer",285,1.12,0.00
"Safal Frozen - Sweet Corn",1000,1.52,0.00
"24 Mantra Organic Besan",500,0.88,0.00
"McVitie's Butter Cookies",200,0.27,0.00
"Veeba Chipolte Southwest Dressing",300,1.49,0.00
"Popular Essentials Black Brown Chana (Un-Polished)",500,0.50,0.00
"RRO Til Dil Premium Til Oil Bottle",500,1.62,0.00
"Hit Flower Lime Fragrance Insect Killer Spray",400,1.76,0.00
"24 Mantra Organic Brown Sona Masoori Rice",1000,0.95,0.00
"Amul Lactose Free Milk",250,0.24,0.00
"Mother's Recipe Mixed Pickle",300,0.77,0.00
"Arden Desi Eggs",348,0.95,0.00
"Hershey's Caramel Syrup",623,2.30,0.00
"McCain Aloo Tikki",400,1.05,0.00
"Smith & Jones Masala Noodles",360,0.61,0.00
"Pomegranate Peeled",100,0.49,0.00
"McCain Masala - Fries",375,1.14,0.00
"McCain Veggie Burger Patty",360,1.11,0.00
"Safal Frozen Mixed Vegetables",500,0.57,0.00
"Surf Excel Easy Wash Detergent Powder",1000,1.31,0.00
"Suguna Vitamin D Egg",348,0.62,0.00
"Colocasia ",500,0.24,0.00
"McCain Potato Cheese Shotz",250,1.24,0.00
"Eveready AA pack of 10 ",580,1.43,0.00
"Cadbury Oreo Chocolatey Sandwich Biscuits Family Pack",300,0.80,0.00
"Parle Fab!o Vanilla Creme Sandwich Biscuit",120,0.29,0.00
"Pillsbury Vanilla Custard Powder",100,0.36,0.00
"Ladies Finger ",250,0.12,0.00
"Dettol Skincare Liquid Hand Wash",200,0.79,0.00
"Dabur Chyawanprash Immunity Booster",500,1.77,0.00
"Tata Sampann kabuli chana",1000,1.83,0.00
"Baby Potato",500,0.16,0.00
"Savlon Moisture Shield Germ Protection Handwash Refill (Buy 1 Get 1 Free)",1500,1.89,0.00
"Dabur - Chyawanprash",250,0.99,0.00
"Banana Robusta",348,0.24,0.00
"Garlic Indian ",100,0.09,0.00
"Fresh Chicken Mince - Kheema (Halal)",500,2.04,0.00
"Veeba Thousand Island Dressing",300,1.37,0.00
"24 Mantra Organic Tur Dal - Split",500,1.20,0.00
"Stayfree Secure Cottony Soft Cover Sanitary Pad (Regular) with Wings",406,0.29,0.00
"Sweet Potato ",500,0.32,0.00
"TGFC Rohu Bengali Cut",500,1.79,0.00
"24 Mantra Organic Ragi Flour",500,0.52,0.00
"Domex Disinfectant Floor Cleaner",1000,1.70,0.00
"Quaker Oats",400,0.79,0.00
"Britannia Sandwich White Bread",350,0.33,0.00
"Gits Rice Dosa Instant Breakfast Mix",200,0.57,0.00
"Oleev Active Oil (Pouch)",1000,2.39,0.00
